lastSalePrice,lastSaleDate
350000.0,1900-01-01 00:00:00
126000.0,1900-01-01 00:00:00
24000.0,1900-01-01 00:00:00
348840.0,1900-01-01 00:00:00
214500.0,1900-01-01 00:00:00
74500.0,1900-01-01 00:00:00
142000.0,1900-01-01 00:00:00
161000.0,1900-01-01 00:00:00
341800.0,1900-01-01 00:00:00
1210000.0,1900-01-01 00:00:00
218000.0,1900-01-01 00:00:00
46450.0,1900-01-01 00:00:00
399000.0,1900-01-01 00:00:00
104950.0,1900-01-01 00:00:00
8042500.0,1900-01-01 00:00:00
443000.0,1900-01-01 00:00:00
98800.0,1900-01-01 00:00:00
221000.0,1900-01-01 00:00:00
240000.0,1900-01-01 00:00:00
971000.0,1900-01-01 00:00:00
172926.0,1900-01-01 00:00:00
65400.0,1900-01-01 00:00:00
322000.0,1900-01-01 00:00:00
408175.0,1900-01-01 00:00:00
8952215.0,1900-01-01 00:00:00
136210.0,1900-01-01 00:00:00
570000.0,1900-01-01 00:00:00
462500.0,1900-01-01 00:00:00
113500.0,1900-01-01 00:00:00
1500000.0,1900-01-01 00:00:00
605000.0,1900-01-01 00:00:00
356386.0,1900-01-01 00:00:00
346000.0,1900-01-01 00:00:00
106000.0,1900-01-01 00:00:00
259900.0,1900-01-01 00:00:00
706100.0,1900-01-01 00:00:00
224900.0,1900-01-01 00:00:00
133000.0,1900-01-01 00:00:00
287000.0,1900-01-01 00:00:00
158500.0,1900-01-01 00:00:00
395750.0,1900-01-01 00:00:00
137500.0,1900-01-01 00:00:00
